No;type;QP;size
957;P;5.00;32837;
958;P;5.00;33313;
959;P;5.00;33485;
960;P;5.00;32946;
961;P;5.00;33750;
962;P;5.00;34203;
963;P;5.00;33178;
964;P;5.00;34418;
965;P;5.00;33714;
966;P;5.00;32245;
967;P;5.00;32369;
968;P;5.00;33450;
969;P;5.00;33116;
970;P;5.00;32016;
971;P;5.00;32799;
972;P;5.00;32791;
973;P;5.00;32777;
974;P;5.00;33366;
975;P;5.00;33929;
976;P;5.00;33597;
977;P;5.00;34157;
978;P;5.00;33341;
979;P;5.00;32801;
980;P;5.00;33759;
981;P;5.00;32251;
982;P;5.00;32660;
983;P;5.00;32482;
984;P;5.00;33428;
985;P;5.00;31633;
986;P;5.00;32321;
987;P;5.00;31905;
988;P;5.00;31407;
989;P;5.00;32158;
990;P;5.00;33313;
991;P;5.00;31263;
992;P;5.00;31547;
993;P;5.00;32024;
994;P;5.00;32296;
995;P;5.00;31990;
996;P;5.00;31935;
997;P;5.00;31467;
998;P;5.00;31480;
999;P;5.00;32403;
1000;P;5.00;31309;
1001;P;5.00;32420;
1002;P;5.00;32716;
1003;P;5.00;32069;
1004;P;5.00;31759;
1005;P;5.00;32644;
1006;P;5.00;32513;
1007;P;5.00;32463;
1008;P;5.00;32411;
1009;P;5.00;32238;
1010;P;5.00;31538;
1011;P;5.00;32077;
1012;P;5.00;30893;
1013;P;5.00;30654;
1014;P;5.00;30682;
1015;P;5.00;30730;
1016;P;5.00;31896;
1017;P;5.00;31655;
1018;P;5.00;30852;
1019;P;5.00;32180;
1020;P;5.00;31781;
1021;P;5.00;31073;
1022;P;5.00;30990;
1023;P;5.00;31749;
1024;P;5.00;31451;
1025;P;5.00;31261;
1026;P;5.00;31514;
1027;P;5.00;31067;
1028;P;5.00;31546;
1029;P;5.00;31786;
1030;P;5.00;32424;
1031;P;5.00;32193;
1032;P;5.00;31740;
1033;P;5.00;32359;
1034;P;5.00;32594;
1035;P;5.00;31874;
1036;P;5.00;32482;
1037;P;5.00;33056;
1038;P;5.00;32340;
1039;P;5.00;32612;
1040;P;5.00;32800;
1041;P;5.00;32254;
1042;P;5.00;32864;
1043;P;5.00;32888;
1044;P;5.00;31524;
1045;P;5.00;32110;
1046;P;5.00;32426;
1047;P;5.00;30929;
1048;P;5.00;31081;
1049;P;5.00;32636;
1050;P;5.00;32324;
1051;P;5.00;32001;
1052;P;5.00;31801;
1053;P;5.00;31586;
1054;P;5.00;31041;
1055;P;5.00;31506;
1056;P;5.00;31460;
1057;P;5.00;31171;
1058;P;5.00;31908;
1059;P;5.00;32649;
1060;P;5.00;31791;
1061;P;5.00;32062;
1062;P;5.00;32781;
1063;P;5.00;31993;
1064;P;5.00;31696;
1065;P;5.00;32470;
1066;P;5.00;30918;
1067;P;5.00;31249;
1068;P;5.00;32452;
1069;P;5.00;30610;
1070;P;5.00;30416;
1071;P;5.00;31216;
1072;P;5.00;30653;
1073;P;5.00;30036;
1074;P;5.00;30669;
1075;P;5.00;30420;
1076;P;5.00;29924;
1077;P;5.00;30077;
1078;P;5.00;30624;
1079;P;5.00;30279;
1080;P;5.00;30353;
1081;P;5.00;30358;
1082;P;5.00;30521;
1083;P;5.00;30510;
1084;P;5.00;30620;
